PJ,Parish Ward Precinct,Registered Voters (as of 10/1/24),Yet to Vote,Total Early Vote,%EV Turnout
B,PAR 36 W 01 P 01,1069,873,196,0.1833489242282507
B,PAR 36 W 01 P 02,503,403,100,0.1988071570576541
B,PAR 36 W 01 P 05,746,564,182,0.24396782841823056
B,PAR 36 W 01 P 06,580,468,112,0.19310344827586207
B,PAR 36 W 02 P 01,1024,757,267,0.2607421875
B,PAR 36 W 02 P 02,1328,1157,171,0.12876506024096385
B,PAR 36 W 02 P 04,872,750,122,0.13990825688073394
B,PAR 36 W 02 P 06,421,381,40,0.09501187648456057
B,PAR 36 W 02 P 07,2344,2147,197,0.0840443686006826
B,PAR 36 W 03 P 01,2366,1784,582,0.2459847844463229
B,PAR 36 W 03 P 08,1599,1291,308,0.19262038774233897
B,PAR 36 W 03 P 09,657,515,142,0.2161339421613394
B,PAR 36 W 03 P 12,1452,1069,383,0.26377410468319556
A,PAR 36 W 03 P 14,455,321,134,0.2945054945054945
B,PAR 36 W 03 P 15,507,397,110,0.21696252465483234
A,PAR 36 W 03 P 18,1070,855,215,0.20093457943925233
A,PAR 36 W 03 P 19,930,684,246,0.2645161290322581
A,PAR 36 W 03 P 20,486,363,123,0.25308641975308643
C,PAR 36 W 04 P 02,1423,1035,388,0.27266338721011946
B,PAR 36 W 04 P 03,839,635,204,0.2431466030989273
B,PAR 36 W 04 P 06,840,619,221,0.2630952380952381
A,PAR 36 W 04 P 07,404,268,136,0.33663366336633666
A,PAR 36 W 04 P 08,622,456,166,0.26688102893890675
A,PAR 36 W 04 P 09,1420,833,587,0.41338028169014085
A,PAR 36 W 04 P 11,782,502,280,0.35805626598465473
A,PAR 36 W 04 P 14,1393,805,588,0.4221105527638191
A,PAR 36 W 04 P 15,1240,710,530,0.4274193548387097
A,PAR 36 W 04 P 17,1067,567,500,0.46860356138706655
A,PAR 36 W 04 P 17A,604,359,245,0.4056291390728477
A,PAR 36 W 04 P 18,1150,615,535,0.4652173913043478
A,PAR 36 W 04 P 20,794,429,365,0.4596977329974811
A,PAR 36 W 04 P 21,792,449,343,0.43308080808080807
D,PAR 36 W 04 P 22,777,398,379,0.4877734877734878
D,PAR 36 W 04 P 23,695,330,365,0.5251798561151079
C,PAR 36 W 05 P 01,364,282,82,0.22527472527472528
C,PAR 36 W 05 P 02,388,285,103,0.2654639175257732
C,PAR 36 W 05 P 03,958,705,253,0.2640918580375783
D,PAR 36 W 05 P 05,590,407,183,0.3101694915254237
D,PAR 36 W 05 P 07,735,562,173,0.23537414965986395
"D, A",PAR 36 W 05 P 08,568,418,150,0.2640845070422535
A,PAR 36 W 05 P 09,492,354,138,0.2804878048780488
A,PAR 36 W 05 P 10,499,375,124,0.24849699398797595
A,PAR 36 W 05 P 11,463,300,163,0.35205183585313177
A,PAR 36 W 05 P 12,766,570,196,0.2558746736292428
A,PAR 36 W 05 P 13,554,377,177,0.3194945848375451
A,PAR 36 W 05 P 15,1021,636,385,0.3770812928501469
A,PAR 36 W 05 P 16,401,240,161,0.4014962593516209
D,PAR 36 W 05 P 17,742,382,360,0.48517520215633425
D,PAR 36 W 05 P 18,939,452,487,0.5186368477103301
C,PAR 36 W 06 P 01,616,429,187,0.30357142857142855
C,PAR 36 W 06 P 02,679,491,188,0.2768777614138439
C,PAR 36 W 06 P 04,564,398,166,0.29432624113475175
D,PAR 36 W 06 P 06,1024,708,316,0.30859375
D,PAR 36 W 06 P 07,469,367,102,0.21748400852878466
A,PAR 36 W 06 P 08,529,361,168,0.31758034026465026
A,PAR 36 W 06 P 09,692,388,304,0.4393063583815029
C,PAR 36 W 07 P 01,696,538,158,0.22701149425287356
C,PAR 36 W 07 P 02,639,454,185,0.2895148669796557
C,PAR 36 W 07 P 04,492,356,136,0.2764227642276423
"C, D",PAR 36 W 07 P 05,738,564,174,0.23577235772357724
"C, D",PAR 36 W 07 P 06,587,415,172,0.293015332197615
D,PAR 36 W 07 P 07,614,484,130,0.21172638436482086
D,PAR 36 W 07 P 08,864,675,189,0.21875
D,PAR 36 W 07 P 09A,464,341,123,0.2650862068965517
D,PAR 36 W 07 P 10,478,367,111,0.23221757322175732
D,PAR 36 W 07 P 11,778,576,202,0.2596401028277635
"D, A",PAR 36 W 07 P 12,755,498,257,0.3403973509933775
D,PAR 36 W 07 P 13,599,416,183,0.3055091819699499
D,PAR 36 W 07 P 14,658,473,185,0.2811550151975684
